,aspects,terms,text
90,['anecdotes/miscellaneous'],[],Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
91,['food'],['meal'],We always have a delicious meal and always leave feeling satisfied.
92,['food'],"['ingredients', 'chopsticks']","Dip the ingredients in with your chopsticks, swirl them around, and eat."
93,['ambience'],['garden terrace'],First went here to enjoy their garden terrace.
94,['food'],[],"My husbands was perfect, my was well done and dry."
95,['service'],[],"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
96,['food'],['pizza'],The pizza was pretty good and huge.
97,['anecdotes/miscellaneous'],[],Sapphire is the only Indian restaurant I go to when I'm in NYC.
98,['food'],['cuisine'],"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
99,['anecdotes/miscellaneous'],[],I heartily recommend.
100,['anecdotes/miscellaneous'],[],Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
101,['ambience'],['atmosphere'],I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
102,"['service', 'ambience']","['service', 'crowded']",They are often crowded on the weekends but they are efficient and accurate with their service.
103,['food'],['dish'],All my co-workers were amazed at how small the dish was.
104,"['food', 'service', 'ambience']","['atmosphere', 'service', 'food']","The atmosphere is unheralded, the service impecible, and the food magnificant."
105,['food'],['grilled branzino'],"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
106,"['food', 'service']","['wait staff', 'food']","The wait staff is friendly, and the food has gotten better and better!"
107,['anecdotes/miscellaneous'],[],"This place, which is only a few months old, is perhaps Queens' biggest secret!"
108,"['food', 'ambience']","['vibe', 'French food', 'packed']","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
109,['anecdotes/miscellaneous'],[],This place is so much fun.
110,['anecdotes/miscellaneous'],[],I was glad I did.
111,"['food', 'ambience']","['pizza', 'place']",Right off the L in Brooklyn this is a nice cozy place with good pizza.
112,['service'],[],I've never been treated so rudely.
113,['anecdotes/miscellaneous'],[],I'll be back soon.
114,['food'],['pre-theater menu'],Le Pere Pinard has a $15 pre-theater menu that is outstanding.
115,['anecdotes/miscellaneous'],[],Went inside and I started to get excited.
116,['service'],"['delivery', 'order']",I also ordered for delivery and the restaurant forgot half the order.
117,['service'],"['server', 'meal']",Our server checked on us maybe twice during the entire meal.
118,['anecdotes/miscellaneous'],[],"However, it is jus too good to not praise it."
119,['anecdotes/miscellaneous'],[],We have been to Montparnasse many times and return often for good reason.
120,['anecdotes/miscellaneous'],['scents'],The strong scents coming from the left and right of me negatively affected my taste buds.
121,['food'],['lobster sandwich'],We had the lobster sandwich and it was FANTASTIC.
122,['anecdotes/miscellaneous'],[],It's somewhere you can eat and be happy.
123,['anecdotes/miscellaneous'],[],"If you wrote a bad review, it's because you don't understand what Rao's is all about."
124,['service'],['check'],"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
125,['anecdotes/miscellaneous'],[],but overall i give it a 10
126,"['food', 'price']","['Spider Roll', 'price', 'shell crab']","Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
127,['food'],['Deep Fried Skewers'],Deep Fried Skewers are good and still rare to find in NYC.
128,['service'],"['reservations', 'hostess']","I have tried to make reservations, but both times, the hostess didn't have my name."
129,['food'],"['rice dishes', 'congee (rice porridge)']",I also recommend the rice dishes or the different varieties of congee (rice porridge).
130,['food'],['tuna tartar appetizer'],Their tuna tartar appetizer is to die for.
131,['anecdotes/miscellaneous'],[],This was one of the BEST restaurants I've ever been to.
132,['anecdotes/miscellaneous'],[],This restaurant used to be pretty decent.
133,['food'],"['Food', 'chef', 'fish dishes', 'soups', 'kitchen', 'cuisine']","An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
134,['food'],"['wine', 'french fare', 'cheese']","If you love wine and cheese and delicious french fare, you'll love Artisanal!"
135,['food'],['Indian food'],I love Indian food and consider myself to be quite an expert on it.
136,['food'],['baby pizzas'],Some baby pizzas get their wish.
137,['food'],[],Plenty of choices to make your own creation.
138,['ambience'],[],It was tiny and I felt like I was eating in someone's living room.
139,['anecdotes/miscellaneous'],[],I was there on sat.
140,"['anecdotes/miscellaneous', 'service']",['waiting'],Overall A oh ya even though there is waiting it is deff worth it
141,['food'],['lava cake dessert'],The lava cake dessert was incredible and I recommend it.
142,['anecdotes/miscellaneous'],['baby pizzas'],VT is what baby pizzas hope to be when they grow up.
143,"['food', 'service']","['service', 'food', 'managers']","From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
144,"['food', 'price']","['food', 'food']",Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
145,['anecdotes/miscellaneous'],['table'],The last time I went we were seated at a table in a corridor next to the kitchen.
146,"['food', 'price']",['selection of wines'],good selection of wines ranging from affordable to high end.
147,['ambience'],['Italian decor'],"Nice restaurant overall, with classic upscale Italian decor."
148,['food'],['food'],Not impressed with the food.
149,['anecdotes/miscellaneous'],['dining experience'],The entire dining experience was wonderful!
150,"['food', 'anecdotes/miscellaneous']","['wine selection', 'reservation']",The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
151,['service'],"['Service', 'maitre', 'reservation']",Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
152,['food'],['panang duck'],"Order the panang duck, it's fantastic."
153,['food'],"['Food', 'raw vegatables']","Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
154,['service'],['service'],"Other than the crappy service from two individuals, it's great."
155,['anecdotes/miscellaneous'],[],What more can you ask for?
156,['anecdotes/miscellaneous'],[],Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.
157,"['food', 'price']","['Indian', 'prices']",They have authentic Indian at amazin prices.
158,['service'],[],You are treated just like royality.
159,['ambience'],[],"There's nice and quiet, small but enough for 6 (or more)."
160,['ambience'],['Ambiance'],Ambiance- relaxed and stylish.
161,['anecdotes/miscellaneous'],[],I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.
162,['food'],"['BBQ Salmon', 'Sea Bass', 'Crispy Duck']","Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
163,['food'],"['ingredients', 'ingredients', 'pizza', 'crust']","Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
164,['ambience'],[],"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is)."
165,['food'],"['kababs', 'Dal Bukhara']",and yes Dal Bukhara is so dam good and so are all the kababs.
166,['anecdotes/miscellaneous'],['eating'],I look forward to eating here again
167,['food'],['taste'],I've been coming here as a child and always come back for the taste.
168,"['food', 'ambience', 'price']","['meal', 'price']",Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
169,['food'],"['glass of prosecco', 'mussels', 'glass of Leaping Lizard']","A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
170,['food'],"['Food', 'creme brulee', 'sugar']","Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
171,"['food', 'service']","['food', 'served']",The food always tastes fresh and served promptly.
172,['anecdotes/miscellaneous'],[],I know because I live nearby.
173,['food'],['pizza'],The pizza here is delicious.
174,['anecdotes/miscellaneous'],[],My entire family was horrified.
175,['anecdotes/miscellaneous'],[],On a monthly basis my friends and I get together and have a girls night out.
176,"['food', 'service']","['Pizza', 'delivery', 'garlic knots']","Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
177,['food'],['chinese food'],"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
178,['service'],['service'],But who says Murray's is anything about service.
179,"['food', 'anecdotes/miscellaneous']",['food'],"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
180,['anecdotes/miscellaneous'],[],I have NEVER been disappointed in the Red Eye.
181,['food'],['chef'],Hats off to the chef.
182,['anecdotes/miscellaneous'],[],This should have been done in a back room - away from customers.
183,"['anecdotes/miscellaneous', 'service']","['Service', 'teapot']","Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience."
184,['anecdotes/miscellaneous'],[],Glad you have the luxury to throw out paying customers.
185,['food'],"['pizza', 'fresh mozzarella', 'cheese']","The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
186,"['food', 'ambience']","['place', 'food']",Its an excellent place to relax and the food is one of the best in the city of New York.
187,['service'],"['service', 'getting a table']","service is friendly, and never had a problem walking in and getting a table."
188,['ambience'],"['atmosphere', 'bistro-type vibe']",The atmosphere was crowded but it was a great bistro-type vibe.
189,['anecdotes/miscellaneous'],[],Check it out
190,['service'],"['waitress', 'tables']","First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
191,['anecdotes/miscellaneous'],[],Don't go.
192,['food'],['food'],The food was bland oily.
193,['anecdotes/miscellaneous'],[],But they do.
194,"['food', 'price']","['prices', 'food']","What is even better, is that the prices are very affordable as well, and the food is really good."
195,['food'],"['fish', 'variety of fish']",The fish is fresh but the variety of fish is nothing out of ordinary.
196,['anecdotes/miscellaneous'],[],Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).
197,['anecdotes/miscellaneous'],[],Suan has challenged this loyalty.
198,['food'],"['pesto pizza', 'house salad', 'bottle of wine', 'meal']","Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
199,['service'],"['bartender', 'beverage manager']","And Kruno, the beverage manager is the best bartender I have yet to come across."
200,['ambience'],"['Ambiance', 'music']","Ambiance and music funky, which I enjoy."
201,"['food', 'service']","['food', 'drinks', 'service']","The food, drinks and service are clearly among the best in the city."
202,['anecdotes/miscellaneous'],"['food', 'refleshment']",I went there in late afternoon for some bite size food and refleshment with my date.
203,['price'],[],"It's a really great deal, considering we got full off of four dollars."
204,"['food', 'ambience', 'service']","['ambiance', 'service', 'foods', 'tastes', 'sommlier', 'captain', 'back waiters']","I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
205,['anecdotes/miscellaneous'],[],Went with mommy (the only person who could afford taking me here).
206,['anecdotes/miscellaneous'],[],My friends and I were on vacation in NY and was referred to Chance by a friend.
207,['service'],['waitress'],"Last time I went here, the waitress didn't come back after taking our order."
208,['food'],['tandoori salmon'],Try the tandoori salmon!
209,['anecdotes/miscellaneous'],[],"I am completely hooked on this place, it is ridiculous."
210,"['anecdotes/miscellaneous', 'ambience']",['atmosphere'],"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
211,"['service', 'ambience']","['space', 'service']","Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
212,['anecdotes/miscellaneous'],[],"Have recommended the place to friends, always gets good response."
213,['anecdotes/miscellaneous'],[],We will return many times for this oasis in mid-town.
214,['ambience'],['atmorphere'],I love the atmorphere @ peep!
215,['anecdotes/miscellaneous'],[],Enjoy!
216,['anecdotes/miscellaneous'],[],We weren't!
217,['anecdotes/miscellaneous'],[],This is one of my favorite restaurants and it is not to be missed.
218,['anecdotes/miscellaneous'],[],(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).
219,['anecdotes/miscellaneous'],[],It could have been handled better.
220,['service'],"['service', 'menu items']",The service was attentive and her suggestions of menu items was right on the mark.
221,['food'],['three course meal'],The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.
222,['anecdotes/miscellaneous'],[],Please be aware that it's CASH or AMEX only!
223,['food'],['Pizza'],"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
224,['ambience'],[],It's a rather cramped and busy restaurant and it closes early.
225,"['food', 'service', 'ambience']","['environment', 'food', 'service']","The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
226,['food'],['crawfish boiled'],"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
227,['anecdotes/miscellaneous'],['reservation'],I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.
228,['food'],[],They were served warm and had a soft fluffy interior.
229,['food'],['table'],What came to our table was burned beyond recognition and stringy.
230,['food'],"['Pad Thai', 'noodles']",I had the Pad Thai and the noodles were sticky.
231,['anecdotes/miscellaneous'],['delivered'],"So I've never actually been to M proper, but I've had it delivered a few times."
232,['price'],['values for your money'],"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
233,['food'],['lunch'],"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
234,['service'],['hostess'],The hostess is rude to the point of being offensive.
235,"['food', 'service']","['food', 'wait building']","If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
236,['ambience'],"['corridor', 'space', 'counters', 'counter', 'entrees']","A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
237,['food'],['food'],The food is great.
238,['food'],"['steaks', 'salads', 'sides']",Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
239,['price'],"['Lunch', 'pickels and slaw']","Lunch came with pickels and slaw, no extra charge."
240,"['food', 'price']","['wine', 'prices']",Decent wine at reasonable prices.
241,['service'],['delivered'],All conveniently delivered right to the door.
242,['food'],['wine by the glass'],even the wine by the glass was good.
243,['anecdotes/miscellaneous'],[],Nice Family owned traditional restaurant.
244,"['anecdotes/miscellaneous', 'price']",['price'],would have rather tried terrace in the sky or water club for that price
245,['food'],['dish'],This dish is my favorite and I always get it when I go there and never get tired of it.
246,['food'],['Change Mojito'],"I also ordered the Change Mojito, which was out of this world."
247,['service'],['service'],Okay service.
248,"['food', 'service']","['food', 'service']",The only thing more wonderful than the food (which is exceptional) is the service.
249,['anecdotes/miscellaneous'],[],We were very pleasantly surprised.
250,['food'],['food'],"The food was just awful, ATROCIOUS actually."
251,['anecdotes/miscellaneous'],[],I will never visit this restaurant again.
252,['food'],"['soup for the udon', 'soy sauce', 'water']",The soup for the udon was soy sauce and water.
253,['food'],"['anti-pasta', 'calamari', 'filling pasta mains']","The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
254,"['food', 'service']","['waitress', 'food', 'glasses of wine']",The waitress suggested glasses of wine that went very well with the food.
255,['anecdotes/miscellaneous'],[],"(or sister, in my case!)."
256,['anecdotes/miscellaneous'],[],I've eaten at many different Indian restaurants.
257,"['food', 'service']","['food', 'counter']","They might be all business at the counter when you give your order, but their food says I love you."
258,['food'],"['sushi', 'ceviche mix (special)', 'crab dumplings', 'assorted sashimi', 'sushi', 'rolls', 'sake', 'banana tempura']","We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
259,['food'],"['plain pizza', 'garlic', 'eggplant']",Try their plain pizza with fresh garlic or eggplant.
260,['anecdotes/miscellaneous'],[],Don't go there!
261,['service'],"['servers', 'servers']","Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention."
262,['anecdotes/miscellaneous'],['getting a table'],Good luck getting a table.
263,['anecdotes/miscellaneous'],[],"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect."
264,['anecdotes/miscellaneous'],[],Don't look down your nose at me like that...
265,['anecdotes/miscellaneous'],[],Planet Thai is great!
266,['service'],['service'],The service is awful.
267,['anecdotes/miscellaneous'],[],Just don't do it.
268,['anecdotes/miscellaneous'],[],Just ignore the trendy wannabes.
269,['food'],"['takeout menu', 'menu', 'italian dishes']","The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
270,['food'],[],"Trust me, it will be great, and all of it will be devoured in no time."
271,['anecdotes/miscellaneous'],[],My girlfiends and I ate at O.G. again last night.
272,['anecdotes/miscellaneous'],[],I wish they had one near my office- I would go everyday.
273,['anecdotes/miscellaneous'],[],Finally!
274,['price'],[],Amma has the worst value for money I have experienced in NYC over the past 2 years.
275,['anecdotes/miscellaneous'],['Thai food'],"I am not the most experienced person when it comes to Thai food, but my friend who took me there is."
276,['price'],[],I think this would be a pretty good spot if it were not so overpriced and overrated.
277,['service'],['hostess'],Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.
278,['food'],['pizza'],The pizza is good though.
279,"['price', 'food']",['bottles of wine'],bottles of wine are cheap and good.
280,['anecdotes/miscellaneous'],[],You will not be disapointed at all.
281,['anecdotes/miscellaneous'],[],Walk-ins are risky too.
282,['food'],"['beers', 'food', 'pumkin tortelini', 'dish']","The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
283,['service'],['dinner special'],They didn't give us the dinner special until we asked for it.
284,['food'],"['crabmeat lasagna', 'chocolate bread pudding', 'dessert']",You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
285,['food'],"['pasta dishes', 'tiramisu']","word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
286,"['service', 'price']","['service', 'prices']",Very good service and very good prices.
287,['anecdotes/miscellaneous'],['lunch'],I recently went to this restaurant with some co-workers for lunch and had an amazing time.
288,['service'],"['service', 'staff', 'menu', 'meal']","The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs."
289,['food'],['bagel'],Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
290,['food'],['food'],Our food was great too!
291,['anecdotes/miscellaneous'],[],Open late (well as late as I ever got there and I'm a night person)
292,['service'],['servers'],"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue."
293,['anecdotes/miscellaneous'],"['food', 'plate of dumplings']","Get your food to go, find a bench, and kick back with a plate of dumplings."
294,['food'],['Filet Mignon'],"Please try the Filet Mignon, its just the most tender piece ever."
295,['food'],[],"Everything we had was pretty good, but we have only been there once."
296,['anecdotes/miscellaneous'],"['sangria', 'bar', 'bar', 'bartender']","We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it."
297,['anecdotes/miscellaneous'],[],Something about them being busy with holiday party's.
298,['food'],['sake menu'],The sake menu should not be overlooked!
299,['anecdotes/miscellaneous'],[],I would highly recommend.
300,['anecdotes/miscellaneous'],[],This place is great.
301,"['food', 'price']",['drinks'],the drinks are amazing and half off till 8pm.
302,['food'],['beef cubes'],i've been back to nha trang literally a hundred times for the beef cubes - they're that good.
303,['anecdotes/miscellaneous'],[],"With so many poor experiences to be had in the theater district, is truly an excellent find!"
304,['anecdotes/miscellaneous'],[],This has got to be one of the most overrated restaurants in Brooklyn.
305,"['food', 'service', 'ambience']","['service', 'wine selection', 'ambiance']","The service, wine selection, ambiance are all outstanding and deserve recognition."
306,['anecdotes/miscellaneous'],[],"Went there last night for 2 year anniversery, and wasn't all that impressed."
307,['service'],[],It was rather pathetic that it took them over an hour to seat us.
308,['service'],"['reservations', 'service']","We were seated promptly as we had reservations, however after that the service was slow."
309,['anecdotes/miscellaneous'],[],At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.
310,['service'],"['service', 'waiters']","It's really also the service, is good and the waiters are friendly."
311,['anecdotes/miscellaneous'],[],Suan was a recommendation that I am glad we heeded.
312,['food'],"['food', 'dessert', 'portions']","The food was pretty good, but a little flavorless and the portions very small, including dessert."
313,['anecdotes/miscellaneous'],[],We visit at least once a month.
314,['ambience'],['traffic noise'],"It is set far from the small street it's on, and there is no traffic noise."
